wdpaid,year,class,pixels,path_2000_tif,path_2010_tif
191,2000-2010,80-30,7,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,255-255,7333315,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,255-40,12,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,40-30,6399,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,80-80,2240,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,0-30,1,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,90-90,1002,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,40-90,1,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,80-255,40,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,30-0,6,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,30-40,2761,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,40-40,312814,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,40-255,2,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,30-255,2264,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,255-30,2150,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,90-40,6,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000,60,141,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N16_00_2000LC030\N16_00_2000LC030.tif,-1
191,2000,20,53304,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N16_00_2000LC030\N16_00_2000LC030.tif,-1
191,2000,30,985,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N16_00_2000LC030\N16_00_2000LC030.tif,-1
191,2000,255,33583,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N16_00_2000LC030\N16_00_2000LC030.tif,-1
191,2010,60,141,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N16_00_2010LC030\N16_00_2010LC030.tif
191,2010,20,53025,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N16_00_2010LC030\N16_00_2010LC030.tif
191,2010,30,1264,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N16_00_2010LC030\N16_00_2010LC030.tif
191,2010,255,33583,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N16_00_2010LC030\N16_00_2010LC030.tif
191,2000-2010,60-60,141,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N16_00_2000LC030\N16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N16_00_2010LC030\N16_00_2010LC030.tif
191,2000-2010,30-20,303,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N16_00_2000LC030\N16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N16_00_2010LC030\N16_00_2010LC030.tif
191,2000-2010,30-30,682,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N16_00_2000LC030\N16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N16_00_2010LC030\N16_00_2010LC030.tif
191,2000-2010,255-255,33583,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N16_00_2000LC030\N16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N16_00_2010LC030\N16_00_2010LC030.tif
191,2000-2010,20-20,52722,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N16_00_2000LC030\N16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N16_00_2010LC030\N16_00_2010LC030.tif
