oid, id, partcount, pointcount
1117,10847.0,3,2742
1118,10847.0,4,2036
1119,10847.0,1,2128
1120,12891.0,1,1038
1121,192601.0,1,3731
1122,60482312.0,13,141445
1123,54388.0,1,2097
1124,180981.0,216,54800
1125,180981.0,24,24631
1126,133310.0,18,154030
1127,22727581.0,143,17981
1128,175155.0,3,1630
1129,175155.0,4,1596
1130,136018.0,30,4113
1131,136018.0,30,4113
1132,58887.0,4,839
1133,39350.0,9,69760
1134,166162.0,1,790
1135,62495784.0,4,2994
1136,135559.0,3,5127
1137,135559.0,35,16304
1138,132882.0,1,31166
1139,196540.0,3,794
1140,44846.0,5,3253
1141,135005.0,4,1577
1142,22718925.0,2,167
1143,197593.0,5,9335
1144,197593.0,3,1416
1145,22736493.0,1,951
1146,22736493.0,1,33
1147,22736493.0,1,40
1148,136287.0,1,18
1149,57478.0,1,3278
1150,171795.0,1,11076
1151,171795.0,2,793
1152,171795.0,2,931
1153,171795.0,1,449
1154,171795.0,3,1406
1155,22679141.0,1,102
